,PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,ELHTBTU8 ,ELCLBTU8 ,ELVNBTU8 ,ELWTBTU8 ,ELLTBTU8 ,ELCKBTU8 ,ELRFBTU8 ,ELOFBTU8 ,ELPCBTU8 ,ELMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
4675,5560,3,7,67000,6,7,14,1,2,2,2.0,2,2,318.68,34,1,66526.0,1208319.0,389668.0,163119.0,228191.0,0.0,100369.0,7214.0,75706.0,56111.0
4676,5561,2,4,39500,5,4,25,1,1,2,2.0,2,2,408.27,48,1,65648.0,57419.0,169764.0,0.0,2103857.0,0.0,76390.0,8416.0,42348.0,170099.0
4677,5562,3,5,71000,6,7,8,1,2,2,2.0,2,2,121.02,26,1,139394.0,3599025.0,983646.0,29338.0,1579522.0,0.0,85219.0,57020.0,65031.0,1946630.0
4678,5563,3,5,72000,6,8,13,1,1,2,2.0,2,2,111.13,24,1,16093.0,478515.0,92809.0,0.0,73729.0,0.0,37903.0,0.0,621.0,210714.0
4679,5564,4,9,41500,5,6,2,1,1,2,2.0,2,2,221.81,47,1,0.0,263843.0,635058.0,0.0,903397.0,0.0,0.0,8675.0,182427.0,726776.0
4680,5565,3,6,150000,7,3,14,1,2,1,2.0,1,2,90.4,30,1,228629.0,1191179.0,2750561.0,240005.0,4135860.0,0.0,54005.0,252879.0,871475.0,695338.0
4681,5566,1,2,28500,5,5,17,1,1,2,2.0,2,2,456.4,6,1,420443.0,287305.0,393412.0,457328.0,593108.0,11340.0,90173.0,18796.0,22373.0,206703.0
4682,5567,1,2,1200,2,4,1,1,1,2,2.0,2,2,2739.65,4,2,0.0,580.0,227.0,0.0,1732.0,0.0,0.0,0.0,0.0,6830.0
4683,5568,3,5,190000,7,7,7,1,2,2,2.0,2,1,205.61,22,1,0.0,0.0,2167092.0,1522569.0,2082353.0,0.0,402460.0,43854.0,244046.0,3220479.0
4684,5569,3,5,81000,6,7,23,1,2,2,,2,2,190.78,26,2,370721.0,2095256.0,1058650.0,1124346.0,3281592.0,0.0,534492.0,88940.0,126642.0,1080387.0
4685,5570,3,7,16000,4,5,23,1,1,2,,2,2,140.13,33,2,0.0,221120.0,124515.0,0.0,637750.0,0.0,103874.0,17285.0,24612.0,192441.0
4686,5571,3,7,51000,6,6,5,1,1,2,2.0,2,2,734.43,32,2,0.0,105362.0,80741.0,0.0,326119.0,0.0,90292.0,10504.0,10296.0,137698.0
4687,5573,3,7,59000,6,6,6,1,1,2,2.0,2,2,70.78,36,1,265692.0,1114285.0,440371.0,0.0,1483628.0,0.0,4145016.0,24532.0,22042.0,309643.0
